,id,Nodraft,Yesdraft,Player,Team,Conference,Games Played,Minutes Percentage,Offensive Rating,True Shooting Percentage,Assist Percentage,Turnover Percentage,Block Percentage,Free Throw Percentage,Points Over Replacement Per Adjusted Game,Adjusted Offensive Efficiency
3138,3138,1.0,0.0,Josiah Fulcher,Bowling Green,MAC,24,44.5,94.4,48.4,8.9,17.5,0.5,0.444,0.342127,90.5808
3139,3139,0.998,0.002,Fah'Mir Ali,College of Charleston,CAA,24,69.8,91.4,47.41,25.9,24.8,0.0,0.743,1.04155,95.5316
3140,3140,1.0,0.0,Caleb Huffman,Nicholls St.,Slnd,20,61.1,98.7,51.9,15.9,16.8,0.9,0.7,1.6923,105.202
3141,3141,0.996,0.004,RJ Glasper,Incarnate Word,Slnd,15,45.0,99.7,53.42,11.5,18.5,0.0,0.914,1.41918,98.3085
3142,3142,1.0,0.0,Max Williams,DePaul,BE,3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,-0.21464,-7.52819
3143,3143,1.0,0.0,Chris Osten,Northern Illinois,MAC,24,37.9,110.3,56.11,2.3,13.8,4.8,0.391,0.733854,98.6462
3144,3144,1.0,0.0,Griffin Yaklich,Illinois Chicago,Horz,7,3.5,47.6,33.61,5.7,37.1,0.0,0.0,-0.651442,42.1069
3145,3145,0.992,0.008,Marcus Bagley,Arizona St.,P12,12,34.7,103.5,53.63,7.5,13.1,1.6,0.719,2.21919,107.411
3146,3146,1.0,0.0,William Jeffress Jr.,Pittsburgh,ACC,16,31.1,79.7,30.19,6.3,10.5,1.7,0.625,-0.783532,72.0703
3147,3147,0.992,0.008,Mawot Mag,Rutgers,B10,12,6.2,107.0,63.66,2.8,20.5,1.5,0.5,0.39821,104.929
3148,3148,0.986,0.014,Courvoisier McCauley,DePaul,BE,19,25.6,94.7,45.42,0.0,11.2,1.2,0.667,0.288073,93.3679
3149,3149,0.998,0.002,Kobe Elvis,Dayton,A10,19,49.9,85.3,49.11,18.1,30.2,0.6,0.5,0.131375,87.1537
3150,3150,1.0,0.0,James Carlson,Idaho St.,BSky,3,0.6,0.0,0.0,0.0,0.0,0.0,0.0,-0.51011,-2.94774
3151,3151,1.0,0.0,Lucas Saleh,Buffalo,MAC,6,1.4,176.7,87.5,0.0,0.0,0.0,0.0,0.513243,148.645
3152,3152,0.998,0.002,Jason Spurgin,Southern Utah,BSky,10,6.5,88.1,35.61,6.4,11.7,2.2,0.333,-0.222443,72.4349
3153,3153,1.0,0.0,Myles Wilmoth,Butler,BE,24,34.8,92.1,46.41,3.3,21.2,1.7,0.538,-0.15783,82.115
3154,3154,0.998,0.002,Chuck Harris,Butler,BE,24,70.2,101.9,53.67,18.1,16.2,0.3,0.836,2.96069,114.425
3155,3155,1.0,0.0,Nick Fleming,Southern Utah,BSky,12,16.1,88.9,30.68,19.0,13.3,0.0,0.471,-0.248406,78.2717
3156,3156,0.99,0.01,Boubacar Coulibaly,USC,P12,15,3.4,105.1,71.43,4.8,31.9,4.5,0.0,0.280882,111.651
